Date,Open,High,Low,Close,Volume
12/31/2014,"15,680","15,877","15,533","15,680","1,737,898"
12/30/2014,"15,582","15,926","15,582","15,730","2,457,950"
12/29/2014,"15,189","15,779","15,140","15,582","2,879,720"
12/26/2014,"14,697","15,238","14,501","15,140","3,861,679"
12/25/2014,"14,746","14,894","14,648","14,697","1,511,369"
12/24/2014,"14,894","15,140","14,697","14,845","1,497,982"
12/23/2014,"14,402","15,238","14,402","15,041","2,817,711"
12/22/2014,"14,107","14,648","14,107","14,648","1,671,190"
12/19/2014,"14,845","15,140","13,911","13,911","9,926,622"
12/18/2014,"14,992","15,091","14,845","14,943","2,865,743"
12/17/2014,"14,845","15,140","14,796","14,894","4,119,497"
12/16/2014,"14,943","15,287","14,697","15,041","1,941,398"
12/15/2014,"14,992","15,140","14,550","14,943","4,942,611"
12/12/2014,"14,599","15,238","14,353","15,238","495,089"
12/11/2014,"14,255","14,894","14,157","14,599","1,512,894"
12/10/2014,"15,484","15,484","14,550","14,746","2,952,917"
12/09/2014,"15,435","15,877","15,287","15,533","2,125,266"
12/08/2014,"14,746","15,631","14,697","15,435","2,836,835"
12/05/2014,"14,402","15,238","14,402","14,894","3,083,321"
12/04/2014,"14,009","14,501","14,009","14,402","1,431,356"
12/03/2014,"13,665","14,107","13,665","14,107","1,328,986"
12/02/2014,"13,862","13,862","13,763","13,812","588,895"
12/01/2014,"13,419","13,911","13,370","13,862","1,103,921"
11/28/2014,"13,419","13,714","13,419","13,616","1,319,505"
11/27/2014,"13,272","13,468","13,272","13,419","74,011"
11/26/2014,"13,665","13,665","13,272","13,272","1,001,795"
11/25/2014,"13,468","13,665","13,468","13,567","910,817"
11/24/2014,"13,272","13,468","13,272","13,468","456,171"
11/21/2014,"13,370","13,665","13,370","13,518","928,312"
11/20/2014,"13,075","13,370","13,075","13,370","2,331,818"
11/19/2014,"13,419","13,419","13,075","13,075","242,560"
11/18/2014,"13,518","13,518","13,272","13,272","558,684"
11/17/2014,"13,419","13,616","13,419","13,419","337,851"
11/14/2014,"13,419","13,518","13,419","13,518","382,526"
11/13/2014,"13,468","13,518","13,419","13,419","349,101"
11/12/2014,"13,419","13,518","13,419","13,419","206,897"
11/11/2014,"13,370","13,468","13,370","13,370","346,558"
11/10/2014,"13,321","13,616","13,321","13,419","2,154,134"
11/07/2014,"13,272","13,616","13,272","13,370","397,845"
11/06/2014,"13,468","13,518","13,321","13,370","258,917"
11/05/2014,"13,567","13,567","13,419","13,468","426,632"
11/04/2014,"13,862","13,862","13,518","13,518","2,059,860"
11/03/2014,"13,616","13,862","13,567","13,862","1,183,445"
10/31/2014,"13,173","13,665","13,124","13,616","1,864,376"
10/30/2014,"13,026","13,124","12,928","13,124","346,314"
10/29/2014,"12,879","13,075","12,879","12,928","248,460"
10/28/2014,"12,780","13,026","12,780","13,026","1,882,828"
10/27/2014,"13,026","13,075","12,780","12,780","307,213"
10/24/2014,"12,977","13,124","12,977","13,026","234,260"
10/23/2014,"13,075","13,124","12,977","13,026","640,894"
10/22/2014,"13,026","13,223","13,026","13,124","658,023"
10/21/2014,"13,124","13,173","13,026","13,124","3,213,705"
10/20/2014,"12,977","13,223","12,928","13,075","1,890,050"
10/17/2014,"13,026","13,075","12,780","12,977","3,930,889"
10/16/2014,"13,124","13,173","12,977","13,124","1,482,399"
10/15/2014,"13,026","13,223","12,928","13,223","2,942,053"
10/14/2014,"13,173","13,272","13,124","13,124","1,231,274"
10/13/2014,"13,272","13,272","13,124","13,272","4,792,392"
10/10/2014,"13,419","13,419","13,272","13,272","1,511,531"
10/09/2014,"13,272","13,468","13,223","13,370","3,668,229"
10/08/2014,"13,370","13,370","13,223","13,272","2,222,510"
10/07/2014,"13,370","13,419","13,272","13,370","2,525,003"
10/06/2014,"13,419","13,518","13,321","13,370","855,481"
10/03/2014,"13,518","13,567","13,468","13,518","9,677,369"
10/02/2014,"13,026","13,468","13,026","13,468","1,285,694"
10/01/2014,"13,026","13,075","12,829","12,977","2,556,638"
09/30/2014,"12,780","12,977","12,780","12,829","2,418,584"
09/29/2014,"12,928","12,928","12,829","12,879","4,662,895"
09/26/2014,"13,173","13,173","12,977","12,977","1,232,962"
09/25/2014,"13,075","13,124","12,879","13,026","1,665,311"
09/24/2014,"13,173","13,272","13,075","13,124","3,322,321"
09/23/2014,"13,173","13,272","13,124","13,173","283,431"
09/22/2014,"13,173","13,321","13,173","13,173","2,080,082"
09/19/2014,"13,272","13,419","12,928","12,928","3,116,584"
09/18/2014,"13,370","13,665","13,370","13,419","217,944"
09/17/2014,"13,468","13,518","13,321","13,370","625,799"
09/16/2014,"13,616","13,665","13,223","13,468","1,559,441"
09/15/2014,"14,009","14,009","13,616","13,665","1,117,490"
09/12/2014,"13,960","14,009","13,812","14,009","346,701"
09/11/2014,"14,009","14,107","13,911","14,009","267,197"
09/10/2014,"14,157","14,157","13,812","14,058","1,599,376"
09/09/2014,"14,402","14,402","14,009","14,058","1,974,192"
09/08/2014,"14,402","14,452","14,304","14,402","674,888"
09/05/2014,"14,157","14,452","14,009","14,402","1,193,821"
09/04/2014,"13,812","14,157","13,665","14,157","2,569,068"
09/03/2014,"13,763","14,009","13,763","13,911","1,011,112"
08/29/2014,"13,518","13,812","13,518","13,763","1,555,352"
08/28/2014,"13,567","13,616","13,370","13,518","886,160"
08/27/2014,"13,567","13,665","13,419","13,567","809,077"
08/26/2014,"13,468","13,714","13,321","13,714","2,186,766"
08/25/2014,"13,370","13,468","13,272","13,468","2,281,772"
08/22/2014,"13,370","13,518","13,321","13,370","1,592,907"
08/21/2014,"13,026","13,370","12,977","13,370","2,873,954"
08/20/2014,"12,633","13,124","12,633","13,026","2,771,958"
08/19/2014,"12,682","12,731","12,633","12,682","768,267"
08/18/2014,"12,633","12,731","12,633","12,682","391,844"
08/15/2014,"12,633","12,731","12,584","12,633","447,311"
08/14/2014,"12,780","12,780","12,633","12,731","418,861"
08/13/2014,"12,682","12,780","12,682","12,780","421,098"
08/12/2014,"12,633","12,731","12,633","12,682","247,239"
08/11/2014,"12,682","12,780","12,584","12,633","446,081"
08/08/2014,"12,731","12,829","12,731","12,731","336,224"
08/07/2014,"12,731","12,780","12,731","12,780","650,374"
08/06/2014,"12,879","12,879","12,780","12,780","271,347"
08/05/2014,"12,731","12,879","12,633","12,879","1,077,962"
08/04/2014,"12,534","12,731","12,534","12,731","502,962"
08/01/2014,"12,534","12,682","12,534","12,682","302,331"
07/31/2014,"12,534","12,633","12,485","12,584","334,108"
07/30/2014,"12,584","12,682","12,485","12,584","187,591"
07/29/2014,"12,534","12,682","12,485","12,682","340,801"
07/28/2014,"12,682","12,682","12,485","12,584","391,966"
07/25/2014,"12,682","12,829","12,682","12,682","665,451"
07/24/2014,"12,682","12,780","12,682","12,780","362,243"
07/23/2014,"12,633","12,780","12,633","12,731","293,420"
07/22/2014,"12,780","12,829","12,682","12,682","261,582"
07/21/2014,"12,879","12,928","12,731","12,879","482,761"
07/18/2014,"12,829","12,879","12,731","12,879","796,138"
07/17/2014,"12,780","12,879","12,731","12,731","413,429"
07/16/2014,"12,682","12,879","12,682","12,829","797,928"
07/15/2014,"12,682","12,731","12,633","12,682","539,276"
07/14/2014,"12,633","12,682","12,534","12,633","233,996"
07/11/2014,"12,682","12,682","12,584","12,633","591,051"
07/10/2014,"12,731","12,829","12,633","12,633","638,819"
07/09/2014,"12,879","12,879","12,731","12,731","531,342"
07/08/2014,"12,928","12,928","12,829","12,879","361,613"
07/07/2014,"12,879","12,977","12,829","12,928","979,823"
07/04/2014,"12,731","12,879","12,682","12,829","852,409"
07/03/2014,"12,780","12,829","12,682","12,731","511,324"
07/02/2014,"12,879","12,879","12,682","12,731","667,158"
07/01/2014,"12,928","12,928","12,731","12,780","978,200"
06/30/2014,"13,026","13,026","12,829","12,879","133,110"
06/27/2014,"12,977","13,026","12,928","12,928","977,707"
06/26/2014,"12,928","13,075","12,879","12,977","1,688,116"
06/25/2014,"12,780","12,977","12,780","12,928","1,485,532"
06/24/2014,"12,829","12,928","12,780","12,780","1,313,077"
06/23/2014,"12,240","12,928","12,240","12,879","2,335,419"
06/20/2014,"12,584","12,731","12,240","12,240","3,383,618"
06/19/2014,"12,682","12,731","12,387","12,584","961,371"
06/18/2014,"12,829","12,977","12,682","12,780","2,559,588"
06/17/2014,"12,737","12,823","12,695","12,823","1,200,633"
06/16/2014,"12,780","12,780","12,609","12,780","1,619,132"
06/13/2014,"12,866","12,908","12,780","12,866","671,170"
06/12/2014,"12,609","12,994","12,567","12,737","1,252,454"
06/11/2014,"12,310","12,438","12,267","12,438","771,232"
06/10/2014,"12,353","12,396","12,225","12,225","711,948"
06/09/2014,"12,353","12,438","12,267","12,310","874,313"
06/06/2014,"12,182","12,396","12,096","12,310","775,631"
06/05/2014,"11,968","12,139","11,925","11,925","487,843"
06/04/2014,"12,225","12,310","12,096","12,182","159,791"
06/03/2014,"12,396","12,396","12,310","12,353","537,324"
06/02/2014,"12,438","12,438","12,139","12,396","715,902"
05/30/2014,"12,225","12,396","12,139","12,396","1,117,018"
05/29/2014,"12,396","12,481","12,139","12,225","842,635"
05/28/2014,"12,182","12,438","12,182","12,353","1,987,026"
05/27/2014,"11,669","12,182","11,626","12,182","1,128,154"
05/26/2014,"11,455","11,669","11,241","11,669","748,469"
05/23/2014,"11,541","11,541","11,241","11,241","1,154,708"
05/22/2014,"11,626","11,669","11,541","11,541","1,083,749"
05/21/2014,"11,712","11,712","11,498","11,626","676,925"
05/20/2014,"11,541","11,712","11,327","11,669","657,109"
05/19/2014,"11,583","11,712","11,370","11,712","1,344,960"
05/16/2014,"10,900","11,541","10,900","11,541","1,474,758"
05/15/2014,"11,113","11,370","10,686","11,071","3,439,301"
05/14/2014,"10,387","11,113","10,387","11,113","2,711,795"
05/13/2014,"10,173","10,387","10,045","10,387","1,788,960"
05/12/2014,"10,686","10,857","10,130","10,173","2,759,639"
05/09/2014,"10,301","10,900","10,301","10,857","2,123,328"
05/08/2014,"11,327","11,327","10,643","10,643","4,141,095"
05/07/2014,"11,541","11,541","11,284","11,412","731,413"
05/06/2014,"11,541","11,626","11,071","11,327","1,332,397"
05/05/2014,"12,182","12,310","11,541","11,583","1,434,448"
04/29/2014,"12,310","12,353","12,139","12,310","394,682"
04/28/2014,"12,182","12,396","12,139","12,182","1,973,784"
04/25/2014,"12,396","12,438","12,267","12,396","1,446,777"
04/24/2014,"12,396","12,438","12,310","12,396","1,160,089"
04/23/2014,"12,481","12,695","12,353","12,396","2,957,705"
04/22/2014,"12,182","12,524","12,182","12,396","1,298,871"
04/21/2014,"12,182","12,524","12,182","12,182","1,298,824"
04/18/2014,"12,737","12,737","12,353","12,353","1,567,170"
04/17/2014,"12,737","12,737","12,524","12,567","2,488,251"
04/16/2014,"12,823","12,908","11,968","12,567","2,650,826"
04/15/2014,"13,165","13,165","12,780","12,823","2,447,122"
04/14/2014,"13,250","13,250","13,079","13,122","1,543,190"
04/11/2014,"13,336","13,336","13,208","13,250","1,730,026"
04/10/2014,"13,507","13,550","13,336","13,336","2,278,580"
04/08/2014,"13,379","13,464","13,379","13,464","1,807,770"
04/07/2014,"13,293","13,507","13,293","13,421","1,179,811"
04/04/2014,"13,464","13,464","13,336","13,379","830,049"
04/03/2014,"13,421","13,464","13,293","13,379","1,448,462"
04/02/2014,"13,293","13,464","13,079","13,336","1,761,353"
04/01/2014,"13,208","13,550","12,994","13,293","3,607,982"
03/31/2014,"13,165","13,421","13,079","13,165","2,982,972"
03/28/2014,"12,994","13,293","12,994","13,165","2,293,834"
03/27/2014,"12,994","13,122","12,866","12,994","2,921,839"
03/26/2014,"13,507","13,550","12,908","12,994","3,490,467"
03/25/2014,"13,635","13,721","13,421","13,550","2,911,194"
03/24/2014,"13,507","13,678","13,464","13,592","3,290,389"
03/21/2014,"13,165","13,592","13,122","13,293","7,890,738"
03/20/2014,"13,208","13,250","13,079","13,122","1,681,668"
03/19/2014,"13,037","13,250","13,037","13,208","1,874,610"
03/18/2014,"13,165","13,165","12,994","13,037","1,772,185"
03/17/2014,"13,208","13,250","13,079","13,165","2,131,072"
03/14/2014,"13,421","13,421","13,165","13,379","1,920,583"
03/13/2014,"13,079","13,336","13,079","13,336","2,085,778"
03/12/2014,"13,250","13,379","13,079","13,079","2,529,801"
03/11/2014,"13,165","13,421","13,165","13,293","3,638,560"
03/10/2014,"12,780","13,250","12,780","13,165","2,358,733"
03/07/2014,"12,823","12,908","12,780","12,780","2,045,982"
03/06/2014,"12,823","12,866","12,737","12,823","1,448,508"
03/05/2014,"12,737","12,951","12,737","12,823","1,853,788"
03/04/2014,"12,567","12,908","12,481","12,737","2,331,735"
03/03/2014,"13,250","13,250","12,737","12,737","2,793,960"
02/28/2014,"13,037","13,421","12,823","13,079","3,094,428"
02/27/2014,"12,951","13,250","12,951","13,037","3,753,970"
02/26/2014,"12,737","13,037","12,737","12,951","3,959,991"
02/25/2014,"12,438","12,567","12,438","12,567","2,758,656"
02/24/2014,"12,438","12,481","12,353","12,438","1,006,287"
02/21/2014,"12,481","12,481","12,353","12,396","1,145,373"
02/20/2014,"12,481","12,695","12,310","12,438","2,914,657"
02/19/2014,"12,438","12,481","12,353","12,438","1,896,883"
02/18/2014,"12,267","12,396","12,267","12,396","1,607,013"
02/17/2014,"12,396","12,438","12,225","12,310","1,643,978"
02/14/2014,"12,353","12,481","12,353","12,396","1,494,738"
02/13/2014,"12,481","12,567","12,353","12,353","2,161,743"
02/12/2014,"12,096","12,396","12,096","12,396","2,668,232"
02/11/2014,"12,139","12,225","12,054","12,096","2,232,164"
02/10/2014,"11,925","12,096","11,840","12,096","1,143,478"
02/07/2014,"11,968","12,054","11,840","11,883","1,889,560"
02/06/2014,"12,182","12,182","11,883","11,925","2,882,675"
01/27/2014,"12,353","12,353","12,182","12,182","1,740,367"
01/24/2014,"12,524","12,524","12,267","12,353","2,695,418"
01/23/2014,"12,481","12,609","12,396","12,524","2,388,048"
01/22/2014,"12,695","12,695","12,438","12,481","3,705,986"
01/21/2014,"12,567","12,652","12,182","12,652","5,847,867"
01/20/2014,"12,225","12,780","12,182","12,481","7,442,363"
01/17/2014,"11,925","12,310","11,925","12,139","6,770,000"
01/16/2014,"11,840","11,925","11,754","11,840","3,452,122"
01/15/2014,"11,883","11,925","11,754","11,840","2,077,613"
01/14/2014,"11,754","11,883","11,712","11,840","6,155,431"
01/13/2014,"11,883","11,883","11,583","11,754","4,190,460"
01/10/2014,"12,096","12,139","11,883","11,883","2,001,180"
01/09/2014,"12,011","12,139","11,968","12,096","1,630,946"
01/08/2014,"11,883","12,011","11,797","12,011","3,449,361"
