Date,Open,High,Low,Close,Volume
12/29/2023,"83,500","83,900","80,300","80,300","1,894,326"
12/28/2023,"82,700","83,100","82,400","82,800","997,500"
12/27/2023,"82,900","83,200","82,500","82,700","1,017,700"
12/26/2023,"82,000","82,800","82,000","82,800","1,113,200"
12/25/2023,"80,900","81,800","80,700","81,800","1,480,000"
12/22/2023,"80,900","81,100","80,400","80,900","1,721,800"
12/21/2023,"81,000","81,000","80,300","80,900","2,148,400"
12/20/2023,"81,200","81,300","80,500","81,100","2,014,300"
12/19/2023,"81,500","81,500","80,100","81,200","2,079,400"
12/18/2023,"82,800","82,900","81,500","81,500","2,004,600"
12/15/2023,"84,000","84,400","82,200","82,200","2,648,401"
12/14/2023,"84,000","84,500","84,000","84,400","982,600"
12/13/2023,"84,200","84,500","83,700","83,700","2,541,000"
12/12/2023,"84,700","84,700","84,000","84,200","1,148,400"
12/11/2023,"85,000","85,300","84,100","84,200","2,768,100"
12/08/2023,"85,200","85,500","85,000","85,000","1,293,000"
12/07/2023,"85,700","86,000","85,000","85,200","2,403,460"
12/06/2023,"85,300","86,000","85,000","85,900","748,000"
12/05/2023,"86,000","86,100","84,800","85,400","2,339,861"
12/04/2023,"85,400","86,200","84,800","86,000","978,100"
12/01/2023,"84,900","85,000","84,100","85,000","788,700"
11/30/2023,"85,100","85,400","84,700","84,700","986,600"
11/29/2023,"85,400","85,900","85,100","85,100","838,100"
11/28/2023,"85,500","85,900","84,800","85,800","926,200"
11/27/2023,"86,000","86,000","85,100","85,800","548,000"
11/24/2023,"85,500","86,000","85,000","86,000","793,500"
11/23/2023,"86,700","86,800","85,500","85,500","752,200"
11/22/2023,"86,300","86,700","85,500","86,700","1,071,700"
11/21/2023,"86,100","86,700","85,800","86,600","1,256,400"
11/20/2023,"85,600","87,000","85,000","86,100","1,157,400"
11/17/2023,"87,800","87,900","85,500","85,600","1,693,000"
11/16/2023,"87,000","88,000","86,700","88,000","1,343,800"
11/15/2023,"86,500","87,700","86,500","87,700","4,172,800"
11/14/2023,"86,000","86,500","85,400","86,000","1,086,500"
11/13/2023,"86,000","86,100","85,400","85,500","3,242,786"
11/10/2023,"87,100","87,500","86,000","86,000","1,411,000"
11/09/2023,"89,500","89,500","87,900","87,900","2,291,800"
11/08/2023,"88,000","89,700","87,900","89,500","1,329,300"
11/07/2023,"89,000","89,300","88,300","88,300","518,900"
11/06/2023,"88,900","89,800","88,500","89,500","833,800"
11/03/2023,"89,000","89,400","88,100","88,900","1,157,600"
11/02/2023,"88,000","89,000","86,600","89,000","1,114,500"
11/01/2023,"86,800","87,800","86,100","87,800","1,550,100"
10/31/2023,"85,900","86,900","84,900","86,800","1,438,300"
10/30/2023,"83,500","86,000","83,500","85,900","618,900"
10/27/2023,"84,600","85,000","83,800","85,000","911,400"
10/26/2023,"85,000","86,000","83,500","84,500","1,520,300"
10/25/2023,"85,100","85,800","84,600","85,800","924,100"
10/24/2023,"84,500","86,500","83,900","86,000","994,000"
10/23/2023,"84,500","84,500","82,500","84,500","1,130,600"
10/20/2023,"83,500","85,300","82,700","84,800","938,400"
10/19/2023,"85,500","86,000","84,100","84,500","1,408,600"
10/18/2023,"85,500","86,000","85,000","85,900","1,266,400"
10/17/2023,"86,100","86,500","85,500","85,900","488,400"
10/16/2023,"85,600","86,600","85,600","86,100","551,300"
10/13/2023,"86,000","86,600","85,500","86,600","788,100"
10/12/2023,"86,900","86,900","85,500","86,000","882,100"
10/11/2023,"86,200","86,500","85,700","86,500","815,401"
10/10/2023,"84,600","86,200","84,600","86,100","802,101"
10/09/2023,"85,400","85,400","84,000","84,600","1,212,100"
10/06/2023,"84,500","85,400","83,500","85,400","800,900"
10/05/2023,"86,000","86,000","84,500","84,500","1,014,000"
10/04/2023,"86,300","86,300","85,300","86,300","922,800"
10/03/2023,"86,500","86,700","85,800","86,300","1,066,600"
10/02/2023,"87,100","87,200","86,500","86,500","765,716"
09/29/2023,"88,300","88,300","87,100","87,500","613,316"
09/28/2023,"87,200","88,300","86,600","88,000","1,065,102"
09/27/2023,"87,600","89,000","87,000","87,800","1,368,902"
09/26/2023,"89,200","89,400","86,900","87,000","1,663,215"
09/25/2023,"89,000","89,500","88,300","89,300","2,303,421"
09/22/2023,"86,400","89,500","86,000","89,300","2,679,610"
09/21/2023,"88,000","88,000","86,800","87,000","1,359,910"
09/20/2023,"88,100","88,400","86,400","88,000","1,057,027"
09/19/2023,"88,800","89,200","86,000","88,100","1,210,203"
09/18/2023,"89,500","89,700","88,300","88,800","789,102"
09/15/2023,"88,900","89,800","88,600","89,800","2,235,400"
09/14/2023,"89,000","89,500","88,100","89,100","1,552,600"
09/13/2023,"90,000","90,000","88,900","89,100","1,675,000"
09/12/2023,"89,000","90,000","88,900","89,900","1,612,100"
09/11/2023,"89,600","90,000","88,000","88,500","2,592,500"
09/08/2023,"89,500","89,500","89,100","89,500","1,381,905"
09/07/2023,"90,000","90,800","89,500","89,500","1,958,302"
09/06/2023,"90,200","90,200","89,700","90,200","2,057,603"
09/05/2023,"89,100","90,700","89,100","90,100","2,013,202"
08/31/2023,"89,100","89,600","88,300","89,100","2,470,000"
08/30/2023,"88,500","89,500","88,500","89,100","1,401,002"
08/29/2023,"87,000","88,500","86,900","88,400","1,453,903"
08/28/2023,"86,400","87,500","86,200","87,000","1,448,900"
08/25/2023,"86,200","87,000","86,000","86,200","1,466,600"
08/24/2023,"86,300","88,200","86,000","87,000","973,803"
08/23/2023,"88,900","88,900","86,100","86,300","1,774,811"
08/22/2023,"89,500","89,700","87,800","88,400","1,938,024"
08/21/2023,"89,700","90,200","89,200","89,800","1,730,933"
08/18/2023,"89,800","90,300","89,000","89,500","2,543,404"
08/17/2023,"89,200","89,800","88,600","89,400","2,165,117"
08/16/2023,"88,800","89,400","88,700","89,200","840,335"
08/15/2023,"90,000","90,000","88,500","88,900","1,168,516"
08/14/2023,"90,300","90,300","89,000","89,000","1,584,830"
08/11/2023,"88,500","90,400","88,500","90,400","940,830"
08/10/2023,"90,500","90,500","88,500","88,500","1,427,128"
08/09/2023,"90,700","90,900","90,100","90,200","703,631"
08/08/2023,"90,800","91,200","90,100","90,700","823,421"
08/07/2023,"90,100","90,800","90,000","90,800","1,244,726"
08/04/2023,"90,700","91,100","90,100","90,100","1,231,617"
08/03/2023,"91,500","91,500","90,500","90,600","970,917"
08/02/2023,"91,200","91,500","91,000","91,500","1,055,821"
08/01/2023,"91,600","92,800","91,200","91,200","1,372,617"
07/31/2023,"93,000","93,200","91,600","91,600","1,468,322"
07/28/2023,"92,700","93,000","91,800","93,000","1,207,918"
07/27/2023,"93,700","93,700","92,500","92,700","957,211"
07/26/2023,"91,900","93,400","91,900","93,400","1,737,418"
07/25/2023,"90,400","92,500","90,300","91,700","2,574,808"
07/24/2023,"88,992","89,246","88,484","88,569","1,079,106"
07/21/2023,"88,908","88,908","88,061","88,908","2,153,467"
07/20/2023,"89,331","90,093","87,722","88,908","1,038,813"
07/19/2023,"88,569","90,686","88,569","90,178","3,054,302"
07/18/2023,"88,823","88,908","88,315","88,315","975,506"
07/17/2023,"88,908","88,908","88,230","88,738","1,525,381"
07/14/2023,"88,823","88,908","88,061","88,908","1,545,575"
07/13/2023,"88,908","88,908","87,807","88,823","1,987,977"
07/12/2023,"86,960","88,484","86,960","88,061","1,028,415"
07/11/2023,"86,198","88,908","86,198","87,214","2,943,761"
07/10/2023,"88,823","88,823","86,622","86,960","2,058,601"
07/07/2023,"85,097","88,908","85,013","88,908","2,449,749"
07/06/2023,"86,452","86,537","85,097","85,267","2,183,669"
07/05/2023,"85,521","86,791","84,928","86,367","2,968,325"
07/04/2023,"85,267","86,283","84,589","84,674","927,912"
07/03/2023,"84,674","85,351","84,505","84,674","578,808"
06/30/2023,"85,605","86,198","84,674","84,674","743,558"
06/29/2023,"86,198","87,214","85,605","86,283","1,178,166"
06/28/2023,"84,674","86,537","84,505","85,605","1,056,051"
06/27/2023,"84,674","85,521","84,420","84,674","845,478"
06/26/2023,"83,912","85,436","83,912","84,674","953,303"
06/23/2023,"85,013","85,013","84,251","84,589","936,769"
06/22/2023,"86,367","86,367","84,589","85,013","1,058,766"
06/21/2023,"84,420","85,097","84,420","84,674","1,467,865"
06/20/2023,"85,605","85,605","84,505","84,589","2,302,370"
06/19/2023,"87,722","88,146","86,113","86,113","1,434,798"
06/16/2023,"88,230","90,093","87,384","88,908","1,596,476"
06/15/2023,"86,791","87,807","86,029","87,638","1,248,435"
06/14/2023,"86,706","88,061","85,944","86,876","1,016,250"
06/13/2023,"84,674","87,214","84,420","86,791","1,102,936"
06/12/2023,"84,589","85,944","83,065","85,521","537,473"
06/09/2023,"84,674","86,367","83,827","85,097","1,264,969"
06/08/2023,"82,134","86,113","82,134","84,674","1,605,451"
06/07/2023,"83,827","83,827","82,134","82,134","938,423"
06/06/2023,"82,981","83,827","81,710","83,827","920,589"
06/05/2023,"80,610","83,573","80,610","82,981","1,609,468"
06/02/2023,"79,509","80,440","79,001","80,356","1,721,662"
06/01/2023,"80,102","80,102","78,916","79,509","840,045"
05/31/2023,"79,509","79,678","78,832","79,594","496,138"
05/30/2023,"78,832","80,271","78,239","80,017","1,544,157"
05/29/2023,"77,900","80,440","77,900","78,832","744,620"
05/26/2023,"78,916","79,170","77,900","77,900","1,212,533"
05/25/2023,"78,408","79,594","77,392","78,916","740,015"
05/24/2023,"78,577","78,577","77,815","78,408","454,921"
05/23/2023,"78,747","79,255","77,985","78,577","671,753"
05/22/2023,"78,747","79,509","78,069","78,832","785,719"
05/19/2023,"80,017","80,356","78,408","79,763","720,292"
05/18/2023,"78,662","81,287","78,069","80,440","2,237,759"
05/17/2023,"78,323","78,747","78,154","78,577","942,320"
05/16/2023,"77,900","78,832","77,307","78,408","1,064,790"
05/15/2023,"77,900","78,747","77,223","77,646","801,782"
05/12/2023,"77,053","78,577","76,884","78,577","1,055,223"
05/11/2023,"77,900","77,985","77,053","77,053","804,970"
05/10/2023,"77,815","78,747","77,561","77,900","968,892"
05/09/2023,"78,747","79,509","78,154","78,154","1,203,911"
05/08/2023,"76,207","78,916","76,037","78,747","1,846,139"
05/05/2023,"74,936","76,122","74,682","76,037","709,190"
05/04/2023,"76,207","76,207","74,936","74,936","660,179"
04/28/2023,"76,207","76,630","75,191","76,630","874,767"
04/27/2023,"75,106","76,630","74,852","76,207","851,855"
04/26/2023,"74,513","75,783","74,428","75,699","4,778,295"
04/25/2023,"74,682","74,936","74,090","74,767","668,210"
04/24/2023,"74,513","74,936","73,666","74,428","691,121"
04/21/2023,"74,513","74,598","74,005","74,090","1,247,726"
04/20/2023,"75,191","75,191","74,513","74,767","304,462"
04/19/2023,"74,598","75,106","74,513","74,936","582,115"
04/18/2023,"74,767","75,021","74,090","74,513","895,316"
04/17/2023,"74,852","74,936","74,344","74,852","667,147"
04/14/2023,"74,767","75,445","74,682","74,852","564,282"
04/13/2023,"74,767","74,936","74,344","74,682","669,627"
04/12/2023,"74,767","75,021","74,513","74,767","686,633"
04/11/2023,"75,360","76,207","74,682","74,682","977,396"
04/10/2023,"76,207","76,207","75,360","75,360","805,796"
04/07/2023,"77,053","77,138","75,783","76,207","995,819"
04/06/2023,"77,477","77,985","77,223","77,223","495,193"
04/05/2023,"78,154","78,154","77,138","77,985","510,192"
04/04/2023,"78,577","78,662","77,561","77,900","369,535"
04/03/2023,"77,646","78,662","77,223","78,577","959,799"
03/31/2023,"78,577","78,916","76,630","77,392","1,220,682"
03/30/2023,"78,154","78,916","77,900","78,493","715,332"
03/29/2023,"78,323","78,323","76,630","78,154","499,327"
03/28/2023,"76,884","78,662","76,291","77,731","1,049,673"
03/27/2023,"75,360","77,053","74,513","77,053","975,624"
03/24/2023,"77,053","77,053","75,275","75,360","794,813"
03/23/2023,"75,191","76,799","73,920","76,799","2,297,635"
03/22/2023,"73,328","76,122","73,328","75,360","1,297,683"
03/21/2023,"72,312","76,122","72,312","73,243","1,385,785"
03/20/2023,"75,360","75,783","72,058","72,058","1,271,937"
03/17/2023,"77,053","77,138","75,360","75,360","2,683,468"
03/16/2023,"77,053","77,900","75,783","77,053","951,886"
03/15/2023,"77,561","77,900","77,138","77,392","1,004,795"
03/14/2023,"77,053","77,223","76,630","77,053","1,070,813"
03/13/2023,"77,900","77,900","76,884","77,477","896,615"
03/10/2023,"78,069","78,323","77,477","77,985","913,858"
