Date,Open,High,Low,Close,Volume
01/04/2021,"65,032","66,226","64,567","65,695","1,368,165"
12/31/2020,"64,965","65,695","64,368","64,965","553,264"
12/30/2020,"65,828","66,094","64,700","64,965","1,068,733"
12/29/2020,"65,032","66,226","64,899","65,828","1,049,610"
12/28/2020,"65,032","65,164","64,567","65,032","1,259,951"
12/25/2020,"64,368","64,766","64,169","64,766","578,611"
12/24/2020,"64,965","64,965","63,705","64,567","1,464,354"
12/23/2020,"64,700","65,364","64,302","64,700","1,004,220"
12/22/2020,"65,032","65,098","64,700","64,965","1,232,449"
12/21/2020,"65,629","65,695","64,567","65,629","1,110,672"
12/18/2020,"63,705","65,629","63,705","65,629","1,587,126"
12/17/2020,"65,430","65,430","63,041","63,705","3,473,323"
12/16/2020,"65,364","66,293","64,899","66,293","1,116,202"
12/15/2020,"65,695","66,226","64,036","64,899","2,159,860"
12/14/2020,"64,501","66,293","63,638","66,293","1,403,097"
12/11/2020,"64,501","64,567","63,638","64,501","2,058,849"
12/10/2020,"64,036","64,833","63,970","64,501","1,958,772"
12/09/2020,"62,112","64,036","61,847","64,036","1,805,574"
12/08/2020,"61,714","62,311","60,718","61,780","1,240,707"
12/07/2020,"60,652","61,913","60,652","61,780","1,424,767"
12/04/2020,"61,847","62,046","60,453","60,453","1,297,338"
12/03/2020,"62,046","62,311","61,316","62,046","1,164,515"
12/02/2020,"61,050","62,046","60,718","62,046","1,125,259"
12/01/2020,"60,188","61,847","60,188","61,050","1,751,490"
11/30/2020,"62,178","62,377","60,718","61,714","2,236,835"
11/27/2020,"62,377","62,709","61,847","62,709","1,824,291"
11/26/2020,"62,046","62,377","61,448","62,377","1,052,383"
11/25/2020,"61,382","62,510","61,249","62,046","1,693,849"
11/24/2020,"61,050","61,316","60,254","61,316","1,565,094"
11/23/2020,"61,117","61,316","60,387","60,785","977,758"
11/20/2020,"60,387","61,382","59,789","61,382","1,910,760"
11/19/2020,"58,197","59,856","57,998","59,856","3,894,637"
11/18/2020,"58,130","58,197","57,732","58,130","1,396,662"
11/17/2020,"56,936","58,130","56,737","58,130","826,189"
11/16/2020,"57,865","58,263","56,405","56,936","1,884,207"
11/13/2020,"57,467","57,666","57,201","57,666","714,056"
11/12/2020,"56,870","57,400","56,803","57,334","648,519"
11/11/2020,"56,737","57,467","56,339","56,339","1,555,962"
11/10/2020,"57,135","57,931","56,471","56,471","2,362,184"
11/09/2020,"56,405","56,936","56,272","56,737","1,555,179"
11/06/2020,"56,471","56,471","55,742","56,405","486,988"
11/05/2020,"56,737","56,737","56,272","56,405","892,058"
11/04/2020,"56,405","56,737","55,941","56,405","629,395"
11/03/2020,"56,936","57,002","56,206","56,405","464,971"
11/02/2020,"55,078","56,936","55,078","56,936","678,582"
10/30/2020,"55,476","56,007","54,945","55,078","1,643,501"
10/29/2020,"56,007","56,272","55,410","55,476","1,152,399"
10/28/2020,"57,069","57,400","55,410","55,874","1,350,730"
10/27/2020,"57,069","57,931","56,737","57,069","1,762,114"
10/26/2020,"58,064","58,263","57,069","57,069","1,543,922"
10/23/2020,"57,666","58,064","57,533","58,064","1,067,392"
10/22/2020,"57,135","57,467","56,471","57,467","1,990,101"
10/21/2020,"58,263","58,794","57,002","57,201","2,218,315"
10/20/2020,"57,732","58,263","57,666","58,197","1,621,153"
10/19/2020,"58,396","58,595","58,064","58,064","1,771,050"
10/16/2020,"58,728","58,794","58,064","58,529","1,089,303"
10/15/2020,"58,529","58,794","57,600","58,794","2,147,021"
10/14/2020,"57,600","59,059","57,533","58,529","1,817,962"
10/13/2020,"57,069","57,666","56,737","57,400","2,092,454"
10/12/2020,"57,069","57,732","56,272","57,002","2,372,868"
10/09/2020,"56,073","56,405","56,073","56,272","551,847"
10/08/2020,"56,737","56,737","55,609","56,272","922,468"
10/07/2020,"55,476","56,538","55,144","56,405","1,489,279"
10/06/2020,"55,609","56,007","55,211","55,675","5,460,018"
10/05/2020,"56,073","56,405","55,343","55,410","1,318,202"
10/02/2020,"56,272","56,405","53,087","55,742","1,342,457"
10/01/2020,"56,471","56,471","55,874","56,272","553,098"
09/30/2020,"56,405","56,405","55,609","55,808","1,317,758"
09/29/2020,"57,069","57,135","55,609","56,140","2,681,010"
09/28/2020,"56,936","57,201","56,671","57,069","1,890,868"
09/25/2020,"57,135","57,201","56,737","57,069","1,668,607"
09/24/2020,"55,808","57,201","55,808","57,135","2,454,424"
09/23/2020,"55,874","56,737","55,874","56,671","2,102,490"
09/22/2020,"55,078","56,007","54,945","55,742","2,632,592"
09/21/2020,"55,144","55,476","55,078","55,078","2,518,666"
09/18/2020,"54,680","55,078","54,680","55,012","1,790,867"
09/17/2020,"54,746","55,078","54,414","54,746","2,351,740"
09/16/2020,"54,812","55,144","54,414","55,012","946,414"
09/15/2020,"55,078","55,410","54,746","54,746","1,987,630"
09/14/2020,"54,945","55,144","54,879","55,078","991,095"
09/11/2020,"54,481","54,812","54,282","54,613","1,003,166"
09/10/2020,"55,078","55,277","54,481","54,481","1,069,487"
09/09/2020,"54,414","55,211","54,083","54,547","2,259,952"
09/08/2020,"55,476","55,675","54,613","54,746","3,085,583"
09/07/2020,"56,206","56,471","55,476","55,476","2,178,727"
09/04/2020,"56,405","57,135","56,272","56,339","3,689,571"
09/03/2020,"55,542","57,400","55,542","57,201","4,429,079"
09/01/2020,"55,078","55,277","55,012","55,078","2,645,612"
08/31/2020,"55,742","56,073","54,945","55,078","1,463,721"
08/28/2020,"55,476","55,675","55,277","55,343","3,959,150"
08/27/2020,"55,410","55,675","55,211","55,410","3,579,367"
08/26/2020,"55,675","55,675","55,343","55,410","2,471,317"
08/25/2020,"55,675","56,339","55,675","55,675","2,856,284"
08/24/2020,"55,078","56,140","55,078","55,675","2,730,619"
08/21/2020,"55,078","55,211","54,812","55,012","2,082,221"
08/20/2020,"55,078","56,073","55,078","55,078","2,190,330"
08/19/2020,"54,613","55,078","54,414","55,078","884,267"
08/18/2020,"54,613","54,812","54,215","54,613","603,687"
08/17/2020,"54,414","55,012","54,215","54,613","586,929"
08/14/2020,"55,078","55,144","54,348","54,414","1,318,993"
08/13/2020,"55,012","55,078","54,414","55,078","678,142"
08/12/2020,"54,481","54,613","54,348","54,481","467,804"
08/11/2020,"54,746","54,812","54,282","54,481","613,964"
08/10/2020,"55,078","55,211","54,348","54,348","1,218,479"
08/07/2020,"55,078","55,078","54,680","55,012","781,598"
08/06/2020,"54,812","55,144","54,348","54,945","1,239,245"
08/05/2020,"54,348","55,078","53,353","54,879","1,774,953"
08/04/2020,"53,087","54,348","52,689","54,348","929,551"
08/03/2020,"50,433","52,291","50,433","52,291","667,310"
07/31/2020,"50,433","51,362","50,433","50,698","1,148,210"
07/30/2020,"51,495","52,092","51,295","51,362","1,413,043"
07/29/2020,"50,433","51,760","49,836","51,428","1,256,153"
07/28/2020,"51,096","52,291","50,765","52,092","1,453,745"
07/27/2020,"50,433","53,087","50,433","51,096","1,920,721"
07/24/2020,"54,481","54,613","52,092","53,751","2,021,642"
07/23/2020,"54,746","54,945","54,481","54,746","2,117,077"
07/22/2020,"54,746","54,746","54,547","54,746","1,175,908"
07/21/2020,"54,746","54,945","54,215","54,746","1,931,526"
07/20/2020,"54,746","54,879","54,215","54,547","1,245,996"
