Date,Open,High,Low,Close,Volume
12/31/2019,"60,121","60,453","59,789","59,856","377,899"
12/30/2019,"60,055","61,183","59,723","60,387","994,802"
12/27/2019,"59,259","60,055","58,595","60,055","751,775"
12/26/2019,"60,055","60,055","59,059","59,325","639,115"
12/25/2019,"59,723","60,320","59,059","59,657","379,572"
12/24/2019,"60,254","60,254","58,993","59,723","764,931"
12/23/2019,"58,993","60,387","58,993","60,320","1,442,534"
12/20/2019,"58,396","58,728","58,263","58,595","693,742"
12/19/2019,"57,533","58,529","57,069","58,396","1,685,636"
12/18/2019,"56,671","57,533","56,604","57,533","1,304,632"
12/17/2019,"57,334","57,732","56,604","56,604","577,255"
12/16/2019,"58,661","58,661","56,405","57,069","1,179,268"
12/13/2019,"58,462","58,728","58,064","58,661","1,155,534"
12/12/2019,"57,135","58,396","57,069","58,064","732,004"
12/11/2019,"57,069","57,069","56,538","57,002","709,897"
12/10/2019,"56,604","57,002","56,405","56,671","802,138"
12/09/2019,"56,339","56,870","56,007","56,538","653,627"
12/06/2019,"56,272","56,538","56,007","56,339","470,773"
12/05/2019,"56,405","56,870","56,140","56,272","600,507"
12/04/2019,"54,348","56,272","54,083","56,206","617,445"
12/03/2019,"55,078","55,808","54,414","54,414","957,475"
12/02/2019,"56,604","56,870","55,078","55,410","732,079"
11/29/2019,"56,803","56,936","56,405","56,604","565,109"
11/28/2019,"57,069","57,268","56,339","56,604","745,416"
11/27/2019,"56,737","57,732","56,604","57,268","830,875"
11/26/2019,"56,073","56,936","56,073","56,206","1,302,206"
11/25/2019,"56,737","57,069","54,812","56,073","2,381,819"
11/22/2019,"58,130","58,728","56,538","56,737","2,134,196"
11/21/2019,"59,126","59,524","58,064","58,064","1,558,614"
11/20/2019,"60,387","60,387","59,391","59,391","823,220"
11/19/2019,"58,396","60,387","58,396","60,387","861,316"
11/18/2019,"59,391","59,657","58,064","58,130","1,055,698"
11/15/2019,"59,723","60,387","59,325","59,524","897,046"
11/14/2019,"60,055","60,652","59,856","60,320","633,404"
11/13/2019,"61,183","61,183","59,723","60,055","1,064,740"
11/12/2019,"60,652","61,117","60,586","60,851","897,875"
11/11/2019,"60,918","60,918","60,387","60,586","805,106"
11/08/2019,"60,586","60,984","60,254","60,718","1,229,073"
11/07/2019,"60,387","60,984","60,387","60,586","608,584"
11/06/2019,"60,254","61,249","60,188","60,387","1,364,142"
11/05/2019,"61,117","61,382","60,188","60,254","1,137,194"
11/04/2019,"59,259","61,382","59,259","61,050","1,709,280"
11/01/2019,"58,197","59,325","58,064","58,927","1,696,817"
10/31/2019,"58,462","58,728","58,130","58,197","1,137,646"
10/30/2019,"57,135","58,529","57,135","58,263","1,287,332"
10/29/2019,"57,998","58,064","57,268","57,334","1,696,260"
10/28/2019,"58,396","58,529","57,998","57,998","1,292,064"
10/25/2019,"57,666","58,728","57,467","58,396","1,384,124"
10/24/2019,"56,604","57,732","56,471","57,666","1,149,280"
10/23/2019,"56,737","56,936","56,140","56,604","1,413,706"
10/22/2019,"55,874","56,936","55,874","56,671","1,455,900"
10/21/2019,"56,339","56,339","55,476","55,874","980,863"
10/18/2019,"56,737","56,936","56,272","56,405","798,973"
10/17/2019,"57,334","57,334","56,272","56,538","1,585,152"
10/16/2019,"57,201","57,268","56,870","57,135","1,611,931"
10/15/2019,"56,405","56,671","56,206","56,538","1,075,062"
10/14/2019,"56,737","57,069","56,405","56,405","935,518"
10/11/2019,"56,073","56,671","56,007","56,604","1,145,709"
10/10/2019,"56,339","56,538","56,073","56,140","1,275,925"
10/09/2019,"56,471","56,870","56,073","56,073","1,296,223"
10/08/2019,"54,945","56,604","54,945","56,471","2,203,079"
10/07/2019,"55,742","56,073","54,945","54,945","1,816,470"
10/04/2019,"54,414","55,410","54,282","55,078","1,774,682"
10/03/2019,"54,282","54,414","53,485","54,414","2,904,823"
10/02/2019,"55,343","55,542","54,215","54,414","1,845,494"
10/01/2019,"54,481","55,476","54,282","55,343","1,929,054"
09/30/2019,"55,012","55,277","54,348","54,481","1,274,538"
09/27/2019,"53,950","55,144","53,618","55,012","2,092,393"
09/26/2019,"53,552","53,950","53,286","53,751","1,815,566"
09/25/2019,"53,087","53,684","52,689","53,552","1,180,459"
09/24/2019,"52,755","53,618","52,357","53,485","1,192,710"
09/23/2019,"54,149","54,348","52,424","52,424","1,788,907"
09/20/2019,"54,083","54,945","53,751","53,751","4,342,595"
09/19/2019,"53,751","54,215","53,419","54,083","794,512"
09/18/2019,"53,817","54,746","53,419","53,485","1,521,754"
09/17/2019,"53,552","53,950","53,419","53,817","1,350,670"
09/16/2019,"54,348","54,879","53,618","53,751","1,178,907"
09/13/2019,"52,954","54,414","52,954","54,348","2,160,643"
09/12/2019,"52,092","52,755","52,092","52,755","1,537,457"
09/11/2019,"51,295","52,092","51,295","51,893","341,250"
09/10/2019,"51,229","52,556","51,163","51,561","1,018,627"
09/09/2019,"51,295","51,362","51,096","51,229","356,305"
09/06/2019,"51,760","51,760","51,096","51,295","562,080"
09/05/2019,"51,229","52,291","51,229","51,495","652,361"
09/04/2019,"51,428","51,428","51,030","51,295","795,326"
09/03/2019,"51,627","51,694","50,897","51,627","1,003,377"
08/30/2019,"51,096","51,561","51,096","51,561","422,144"
08/29/2019,"51,030","51,362","50,765","50,964","636,297"
08/28/2019,"50,964","51,295","50,964","51,096","1,369,537"
08/27/2019,"51,893","52,291","50,433","50,765","1,912,990"
08/26/2019,"51,893","52,158","51,428","51,627","1,013,006"
08/23/2019,"53,087","53,220","52,556","52,556","954,669"
08/22/2019,"53,220","53,353","52,822","53,087","1,178,575"
08/21/2019,"51,030","53,286","50,897","53,087","3,025,546"
08/20/2019,"51,627","51,627","50,897","51,030","683,796"
08/19/2019,"51,694","52,092","50,897","50,964","1,043,929"
08/16/2019,"51,627","52,158","51,627","51,694","951,160"
08/15/2019,"49,504","52,424","49,504","52,424","812,747"
08/14/2019,"51,760","51,760","50,632","50,632","534,593"
08/13/2019,"51,229","51,428","50,366","50,632","1,370,275"
08/12/2019,"52,092","52,291","51,229","51,561","883,076"
08/09/2019,"52,224","52,689","52,025","52,092","1,086,440"
08/08/2019,"52,092","52,954","51,826","52,092","1,224,447"
08/07/2019,"50,632","52,025","50,632","52,025","893,369"
08/06/2019,"50,698","51,030","50,300","50,632","1,812,145"
08/05/2019,"52,556","52,888","51,163","51,362","1,292,320"
08/02/2019,"52,888","53,419","52,490","52,490","1,062,404"
08/01/2019,"53,220","53,419","52,888","53,419","812,023"
07/31/2019,"53,087","53,419","52,822","53,220","772,797"
07/30/2019,"54,414","54,746","53,485","53,485","2,461,598"
07/29/2019,"52,092","53,751","51,959","53,751","1,487,109"
07/26/2019,"51,561","52,888","51,428","52,092","1,419,944"
07/25/2019,"51,030","51,627","50,897","51,561","1,252,823"
07/24/2019,"52,755","52,755","50,765","51,030","2,588,378"
07/23/2019,"52,357","52,623","52,092","52,357","994,048"
07/22/2019,"52,424","52,755","52,224","52,424","1,513,767"
07/19/2019,"50,698","52,954","50,698","52,424","2,062,661"
07/18/2019,"50,366","51,229","50,167","50,698","1,735,531"
07/17/2019,"50,765","51,163","50,300","50,566","1,209,106"
07/16/2019,"50,101","51,760","50,035","51,229","3,039,832"
07/15/2019,"48,907","49,769","48,907","49,769","1,835,367"
07/12/2019,"49,106","49,437","48,840","48,907","1,474,119"
07/11/2019,"48,177","49,504","48,177","49,106","2,240,813"
07/10/2019,"48,110","48,243","47,712","48,110","1,109,361"
07/09/2019,"47,447","47,712","46,849","47,712","1,115,976"
07/08/2019,"47,778","47,978","47,115","47,314","1,487,833"
07/05/2019,"48,110","48,177","47,778","48,177","698,655"
07/04/2019,"46,451","48,110","46,252","48,110","1,695,341"
07/03/2019,"46,783","47,115","46,186","46,186","1,230,761"
07/02/2019,"47,447","47,447","46,650","46,783","682,681"
07/01/2019,"47,115","47,712","47,048","47,314","852,395"
06/28/2019,"46,186","47,778","45,390","46,783","1,351,951"
06/27/2019,"47,115","47,115","46,053","46,119","2,025,635"
06/26/2019,"48,044","48,110","46,783","46,783","1,891,004"
06/25/2019,"48,309","48,309","47,778","48,044","1,222,624"
06/24/2019,"47,447","48,973","47,115","48,442","2,223,378"
06/21/2019,"47,447","47,778","47,115","47,115","2,691,318"
06/20/2019,"46,252","47,447","46,186","47,447","1,827,018"
06/19/2019,"46,717","46,916","46,053","46,319","2,139,079"
06/18/2019,"45,788","46,783","45,257","46,650","2,037,585"
06/17/2019,"45,920","46,650","45,788","45,920","2,107,538"
06/14/2019,"44,792","46,186","44,660","45,920","4,152,824"
06/13/2019,"44,460","44,792","44,062","44,660","875,481"
06/12/2019,"44,726","44,792","44,394","44,460","320,846"
06/11/2019,"44,129","44,792","44,129","44,726","2,237,980"
06/10/2019,"44,328","44,792","43,797","44,261","933,499"
06/07/2019,"44,129","44,460","43,266","43,531","739,735"
06/06/2019,"44,261","44,261","43,133","43,731","1,562,608"
06/05/2019,"44,593","44,792","44,261","44,261","495,969"
06/04/2019,"43,797","44,792","43,731","44,593","810,411"
06/03/2019,"44,129","44,593","42,470","44,129","1,007,641"
05/31/2019,"44,792","45,124","44,328","44,593","1,419,688"
05/30/2019,"44,792","45,190","44,660","44,925","934,026"
05/29/2019,"44,859","45,190","44,593","44,792","924,533"
05/28/2019,"44,460","45,522","44,328","44,726","2,008,320"
05/27/2019,"44,460","44,991","44,129","44,726","574,632"
05/24/2019,"44,660","45,124","43,863","44,129","2,260,449"
05/23/2019,"44,726","45,124","44,527","44,859","711,946"
05/22/2019,"44,792","45,522","44,460","44,593","998,660"
05/21/2019,"45,058","45,390","44,925","44,925","1,089,785"
05/20/2019,"44,328","45,190","44,261","44,991","914,813"
05/17/2019,"44,328","44,460","44,195","44,328","788,078"
05/16/2019,"44,328","44,726","44,328","44,328","847,226"
05/15/2019,"44,261","44,726","44,129","44,328","1,106,452"
05/14/2019,"43,399","44,195","43,399","44,195","1,302,733"
05/13/2019,"43,664","43,863","43,531","43,731","716,437"
05/10/2019,"43,465","43,863","43,266","43,531","835,411"
05/09/2019,"43,399","43,797","43,200","43,465","1,520,790"
05/08/2019,"42,868","43,531","42,868","43,200","1,531,248"
05/07/2019,"43,996","44,460","43,001","43,531","1,836,211"
05/06/2019,"43,930","44,328","43,731","43,996","549,376"
05/03/2019,"44,328","44,593","43,863","44,261","1,294,144"
05/02/2019,"44,859","45,058","44,062","44,394","947,016"
04/26/2019,"44,991","45,323","44,792","45,058","417,819"
04/25/2019,"45,456","45,456","44,925","44,925","525,476"
04/24/2019,"44,792","45,920","44,792","45,456","1,031,572"
04/23/2019,"45,124","45,124","43,863","44,792","1,967,512"
04/22/2019,"44,527","45,190","44,460","45,058","471,994"
04/19/2019,"45,058","45,456","45,058","45,124","350,443"
04/18/2019,"44,792","45,589","44,792","45,058","903,902"
04/17/2019,"45,058","45,257","44,460","45,124","778,659"
04/16/2019,"45,124","45,124","44,062","44,726","609,775"
04/12/2019,"45,522","45,522","44,859","45,124","671,198"
04/11/2019,"45,788","45,788","44,925","45,456","610,453"
04/10/2019,"46,119","46,119","45,655","45,721","1,083,547"
04/09/2019,"46,252","46,451","46,053","46,319","1,279,677"
04/08/2019,"45,190","46,252","45,058","46,252","1,720,793"
04/05/2019,"44,991","45,257","44,991","45,190","719,617"
04/04/2019,"44,593","45,058","44,328","44,925","1,430,041"
04/03/2019,"44,792","44,859","44,129","44,593","2,027,835"
04/02/2019,"45,124","45,456","44,792","44,792","839,329"
04/01/2019,"45,058","45,058","44,859","44,991","1,603,492"
03/29/2019,"44,460","44,792","44,328","44,660","1,021,792"
03/28/2019,"43,598","44,261","43,399","44,261","1,118,870"
03/27/2019,"43,731","43,731","42,934","43,465","1,180,218"
03/26/2019,"43,863","44,129","43,465","43,465","1,895,404"
03/25/2019,"43,133","43,797","42,470","43,465","2,731,554"
03/22/2019,"44,328","44,460","44,129","44,394","4,247,325"
03/21/2019,"44,394","45,058","44,129","44,195","2,468,047"
03/20/2019,"44,261","44,593","43,930","44,261","4,082,901"
03/19/2019,"44,859","44,859","44,261","44,328","2,683,346"
03/18/2019,"44,129","44,991","44,129","44,859","3,461,026"
