Date,Open,High,Low,Close,Volume
12/30/2022,"70,195","70,364","67,739","67,739","1,784,373"
12/29/2022,"69,687","69,856","68,163","68,332","1,621,985"
12/28/2022,"68,078","69,433","67,316","67,739","1,385,903"
12/27/2022,"67,909","68,163","66,808","66,977","1,410,114"
12/26/2022,"67,062","68,417","66,808","66,808","1,421,452"
12/23/2022,"67,909","68,755","66,977","66,977","1,635,921"
12/22/2022,"67,316","68,671","67,146","67,146","1,299,454"
12/21/2022,"68,925","68,925","66,638","66,638","1,136,122"
12/20/2022,"67,485","69,433","66,892","66,892","1,842,832"
12/19/2022,"67,739","68,586","66,892","67,062","894,607"
12/16/2022,"67,316","70,195","66,808","67,485","4,028,037"
12/15/2022,"66,723","68,332","66,554","67,316","1,476,722"
12/14/2022,"67,485","67,485","66,469","66,723","1,471,880"
12/13/2022,"66,130","67,146","65,961","66,215","2,636,582"
12/12/2022,"66,723","68,163","65,538","65,538","2,841,132"
12/09/2022,"66,384","67,062","65,284","65,453","2,066,868"
12/08/2022,"66,892","68,586","65,199","65,199","2,928,526"
12/07/2022,"67,739","69,433","66,046","66,469","1,877,554"
12/06/2022,"71,973","72,142","67,739","67,739","1,627,418"
12/05/2022,"71,211","73,666","69,856","71,973","1,965,184"
12/02/2022,"67,655","71,973","67,146","71,973","1,626,591"
12/01/2022,"68,501","68,925","67,062","67,739","1,392,281"
11/30/2022,"67,993","68,586","65,199","68,586","1,722,607"
11/29/2022,"64,352","67,570","64,352","67,570","2,016,439"
11/28/2022,"63,082","65,199","62,489","64,945","2,783,499"
11/25/2022,"61,897","62,320","61,643","61,897","2,214,493"
11/24/2022,"62,235","62,659","61,389","61,812","1,340,435"
11/23/2022,"61,812","62,235","61,304","62,235","2,093,913"
11/22/2022,"63,082","64,352","61,389","62,235","2,286,416"
11/21/2022,"64,776","64,776","63,506","63,506","1,446,607"
11/18/2022,"64,268","65,114","62,320","64,776","1,848,029"
11/17/2022,"64,437","64,860","63,929","64,776","2,179,772"
11/16/2022,"59,526","66,046","59,526","63,590","3,920,684"
11/15/2022,"62,997","64,691","61,050","63,506","2,364,126"
11/14/2022,"63,929","64,776","62,743","63,590","2,168,906"
