Date,Open,High,Low,Close,Volume
12/30/2016,"23,524","23,690","23,491","23,524","852,711"
12/29/2016,"23,823","23,823","23,491","23,524","726,971"
12/28/2016,"23,956","23,956","23,624","23,624","975,106"
12/27/2016,"24,022","24,155","23,889","23,889","1,238,160"
12/26/2016,"23,657","24,022","23,624","23,956","1,515,892"
12/23/2016,"23,192","23,624","23,126","23,624","1,760,245"
12/22/2016,"23,292","23,292","23,126","23,159","637,352"
12/21/2016,"23,159","23,358","23,027","23,192","625,281"
12/20/2016,"23,425","23,425","23,126","23,192","779,006"
12/19/2016,"23,292","23,425","23,226","23,325","1,427,404"
12/16/2016,"23,226","23,292","23,027","23,292","1,913,472"
12/15/2016,"23,093","23,425","22,894","23,226","989,377"
12/14/2016,"22,728","23,126","22,728","23,093","927,863"
12/13/2016,"23,159","23,159","22,728","22,827","1,169,142"
12/12/2016,"22,960","23,226","22,960","23,159","839,721"
12/09/2016,"23,093","23,325","23,093","23,259","1,023,781"
12/08/2016,"22,827","23,524","22,695","23,226","1,111,380"
12/07/2016,"22,662","22,827","22,662","22,827","1,174,687"
12/06/2016,"23,192","23,192","22,562","22,662","2,016,789"
12/05/2016,"23,292","23,325","23,159","23,159","826,987"
12/02/2016,"23,358","23,458","23,292","23,425","1,132,523"
12/01/2016,"23,557","23,557","23,358","23,392","1,397,913"
11/30/2016,"22,960","23,358","22,827","23,358","3,531,627"
11/29/2016,"23,425","23,557","23,093","23,226","2,369,086"
11/28/2016,"23,690","23,690","23,458","23,557","1,601,171"
11/25/2016,"23,889","23,956","23,690","23,756","1,107,462"
11/24/2016,"23,956","24,121","23,823","23,889","953,828"
11/23/2016,"23,956","24,188","23,889","24,088","1,414,022"
11/22/2016,"23,690","23,889","23,657","23,889","1,165,284"
11/21/2016,"23,591","23,756","23,557","23,690","893,384"
11/18/2016,"23,557","23,657","23,524","23,591","946,715"
11/17/2016,"23,756","23,756","23,458","23,657","1,111,727"
11/16/2016,"23,756","23,823","23,624","23,756","685,981"
11/15/2016,"23,723","24,055","23,723","23,756","420,245"
11/14/2016,"24,055","24,055","23,723","23,756","1,122,833"
11/11/2016,"24,221","24,420","23,922","24,055","1,354,166"
11/10/2016,"24,155","24,287","24,121","24,155","1,645,822"
11/09/2016,"24,088","24,088","23,226","23,889","3,183,942"
11/08/2016,"24,155","24,188","23,889","24,155","1,790,716"
11/07/2016,"23,292","24,088","23,259","24,055","1,635,620"
11/04/2016,"23,358","23,358","23,159","23,226","925,015"
11/03/2016,"23,325","23,392","23,060","23,226","1,483,824"
11/02/2016,"23,756","23,856","23,491","23,491","765,790"
11/01/2016,"23,756","24,022","23,690","23,823","868,956"
10/31/2016,"24,088","24,188","23,889","23,889","1,014,091"
10/28/2016,"24,088","24,155","23,823","24,088","657,003"
10/27/2016,"23,425","24,088","23,425","24,088","1,273,212"
10/26/2016,"23,723","23,756","23,425","23,425","1,045,978"
10/25/2016,"23,956","23,956","23,491","23,723","2,014,182"
10/24/2016,"24,420","24,553","23,956","23,956","1,028,859"
10/21/2016,"24,354","24,553","24,287","24,354","1,169,036"
10/20/2016,"24,420","24,553","24,354","24,354","889,662"
10/19/2016,"24,420","24,686","24,287","24,354","1,446,994"
10/18/2016,"24,155","24,486","23,956","24,188","1,648,550"
10/17/2016,"24,686","24,686","24,155","24,155","2,371,467"
10/14/2016,"24,752","25,017","24,686","24,686","1,267,034"
10/13/2016,"25,017","25,017","24,619","24,752","885,985"
10/12/2016,"25,084","25,183","24,851","24,951","802,620"
10/11/2016,"25,017","25,084","24,287","25,084","3,120,831"
10/10/2016,"25,183","25,349","24,553","24,885","1,528,912"
10/07/2016,"25,515","25,648","25,084","25,183","1,984,480"
10/06/2016,"25,349","25,648","25,349","25,449","1,767,795"
10/05/2016,"25,548","25,615","25,316","25,349","1,403,986"
10/04/2016,"25,150","25,615","25,084","25,150","2,491,270"
10/03/2016,"25,415","25,615","25,017","25,150","1,949,383"
09/30/2016,"25,415","25,747","25,216","25,415","2,114,048"
09/29/2016,"25,880","25,980","25,216","25,415","2,635,967"
09/28/2016,"25,747","26,013","25,581","25,880","2,712,566"
09/27/2016,"24,951","25,648","24,818","25,615","3,087,889"
09/26/2016,"24,785","25,183","24,586","24,951","1,729,157"
09/23/2016,"24,885","24,984","24,686","24,785","1,524,019"
09/22/2016,"25,084","25,415","24,851","24,885","2,400,882"
09/21/2016,"24,553","24,951","24,553","24,851","4,128,849"
09/20/2016,"24,354","24,951","24,088","24,851","1,813,335"
09/19/2016,"23,690","24,453","23,690","24,321","2,301,604"
09/16/2016,"23,889","23,956","23,226","23,226","10,948,759"
09/15/2016,"24,420","24,619","23,889","23,889","1,080,894"
09/14/2016,"23,591","24,818","23,591","24,221","2,343,919"
09/13/2016,"24,885","24,885","23,889","23,889","3,257,858"
09/12/2016,"25,615","25,615","24,553","24,851","1,701,112"
09/09/2016,"25,216","25,946","25,084","25,681","5,053,893"
09/08/2016,"25,069","25,069","24,577","24,823","3,864,791"
09/07/2016,"25,069","25,560","24,577","24,823","3,219,564"
09/06/2016,"25,069","25,315","24,577","24,823","3,751,740"
09/05/2016,"25,806","25,806","24,479","24,823","8,527,878"
09/01/2016,"26,789","27,035","25,315","25,806","6,973,339"
08/31/2016,"27,281","27,772","26,298","26,544","5,276,333"
08/30/2016,"27,772","28,018","27,035","27,281","4,172,310"
08/29/2016,"29,247","29,739","28,264","28,264","2,694,244"
08/26/2016,"27,527","28,264","27,281","28,264","3,706,211"
08/25/2016,"26,544","26,789","26,298","26,544","922,677"
08/24/2016,"26,298","26,789","26,298","26,544","559,925"
08/23/2016,"26,052","26,544","25,806","26,052","1,137,895"
08/22/2016,"27,035","27,035","26,298","26,298","1,356,735"
08/19/2016,"26,052","26,789","26,052","26,298","509,757"
08/18/2016,"26,544","27,035","26,052","26,052","1,175,511"
08/17/2016,"26,544","26,544","25,560","26,052","1,292,590"
08/16/2016,"26,544","27,035","26,298","26,544","1,044,212"
08/15/2016,"26,298","27,035","26,298","26,789","336,854"
08/12/2016,"27,281","27,527","26,298","26,789","673,444"
08/11/2016,"26,298","27,527","26,298","27,527","1,500,220"
08/10/2016,"25,806","26,544","25,806","26,298","630,742"
08/09/2016,"25,560","26,052","25,315","26,052","368,326"
08/08/2016,"25,315","25,560","24,823","25,560","709,514"
08/05/2016,"25,806","25,806","24,823","25,069","667,219"
08/04/2016,"25,069","26,544","24,823","25,560","1,370,487"
08/03/2016,"25,069","25,315","24,332","24,823","659,610"
08/02/2016,"26,052","26,052","25,069","25,315","1,703,964"
08/01/2016,"26,544","26,544","26,052","26,052","742,634"
07/29/2016,"26,789","27,035","26,298","26,544","458,979"
07/28/2016,"26,789","27,035","26,298","27,035","185,923"
07/27/2016,"25,806","26,789","25,806","26,789","818,313"
07/26/2016,"26,052","26,544","25,560","26,052","546,783"
07/25/2016,"25,560","26,298","25,315","26,052","648,767"
07/22/2016,"27,035","27,281","25,560","25,560","1,803,690"
07/21/2016,"27,035","27,281","26,052","27,281","2,730,884"
07/20/2016,"27,772","27,772","26,544","27,035","920,643"
07/19/2016,"27,527","28,018","27,035","27,527","1,137,326"
07/18/2016,"26,298","27,527","26,052","27,281","1,498,471"
07/15/2016,"27,527","28,018","26,544","26,544","1,802,307"
07/14/2016,"28,510","28,756","27,527","27,527","1,977,081"
07/13/2016,"26,544","28,264","26,544","28,264","4,495,025"
07/12/2016,"25,560","26,544","25,560","26,544","1,474,994"
07/11/2016,"25,315","26,298","25,069","25,560","3,231,710"
07/08/2016,"25,069","25,806","24,577","25,069","1,697,047"
07/07/2016,"24,823","25,069","24,479","25,069","1,454,467"
07/06/2016,"24,577","25,315","24,528","24,577","1,204,399"
07/05/2016,"24,282","25,560","24,282","24,823","3,374,626"
07/04/2016,"23,349","24,282","23,349","24,184","2,454,349"
07/01/2016,"23,250","23,496","23,103","23,349","1,676,032"
06/30/2016,"23,152","23,349","23,103","23,250","973,435"
06/29/2016,"22,906","23,299","22,906","23,250","1,167,455"
06/28/2016,"22,513","23,004","22,513","22,808","819,920"
06/27/2016,"22,808","22,808","22,316","22,710","695,456"
06/24/2016,"23,545","23,594","21,972","23,004","1,684,434"
06/23/2016,"23,054","23,594","23,004","23,594","1,400,352"
06/22/2016,"23,103","23,152","22,857","23,004","1,796,936"
06/21/2016,"23,054","23,152","23,004","23,103","1,582,247"
06/20/2016,"23,152","23,250","22,759","23,054","1,265,919"
06/17/2016,"23,250","23,447","23,152","23,152","1,926,384"
06/16/2016,"23,545","23,643","23,398","23,447","1,275,929"
06/15/2016,"23,693","23,693","23,447","23,496","1,227,022"
06/14/2016,"23,643","23,889","23,496","23,742","1,606,680"
06/13/2016,"23,840","24,037","23,742","23,791","2,728,422"
06/10/2016,"23,643","24,135","23,643","23,840","1,800,516"
06/09/2016,"23,545","23,742","23,447","23,643","816,624"
06/08/2016,"23,643","23,889","23,496","23,545","1,856,991"
06/07/2016,"23,594","23,742","23,447","23,643","886,913"
06/06/2016,"23,152","23,840","23,152","23,496","1,594,534"
06/03/2016,"23,103","23,349","23,103","23,250","896,006"
06/02/2016,"23,004","23,250","22,906","23,152","591,560"
06/01/2016,"22,857","23,103","22,857","23,054","754,718"
05/31/2016,"23,054","23,349","22,906","22,955","997,543"
05/30/2016,"22,464","23,004","22,316","23,004","1,088,724"
05/27/2016,"22,316","22,415","22,021","22,267","1,400,352"
05/26/2016,"22,611","22,759","22,267","22,267","1,470,742"
05/25/2016,"22,857","22,955","22,611","22,611","554,331"
05/24/2016,"22,808","22,857","22,365","22,562","1,541,315"
05/23/2016,"23,250","23,496","22,660","22,660","1,426,250"
05/20/2016,"23,889","23,988","23,201","23,299","2,254,958"
