DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
12/28/2018,35701,36166,35369,35502,2654217
12/27/2018,35834,36033,35502,35502,1336158
12/26/2018,34905,35502,34905,35038,1422838
12/25/2018,34507,35170,33843,34971,2998933
12/24/2018,36166,36431,35237,35237,1332390
12/21/2018,36166,36166,35701,36166,2546937
12/20/2018,36033,36630,36033,36232,1321992
12/19/2018,36564,36763,35900,36099,1735682
12/18/2018,35900,36829,35900,36564,2291673
12/17/2018,37161,37426,36365,36365,2981422
12/14/2018,38156,38223,37493,37493,1417413
12/13/2018,38687,38754,38223,38223,1803148
12/12/2018,38024,38488,37692,38488,2209846
12/11/2018,37758,37957,37294,37692,1776776
12/10/2018,37957,38090,37559,37758,1583675
12/7/2018,38090,38289,37891,37957,1258896
12/6/2018,38090,38488,37626,37758,3403189
12/5/2018,37825,38621,37493,38355,3036290
12/4/2018,38355,38687,37891,38223,2060627
12/3/2018,37626,38488,37294,38488,3355584
11/30/2018,36431,37161,36365,36763,2155912
11/29/2018,36896,37426,36497,36497,3556838
11/28/2018,35436,36564,35436,36564,2235841
11/27/2018,36099,36298,35303,35436,1936288
11/26/2018,35834,36033,35635,35834,1015538
11/23/2018,36298,36497,35834,35834,1351815
11/22/2018,36497,36829,36298,36365,1448366
11/21/2018,35237,36763,35170,36763,2875272
11/20/2018,35834,35834,35369,35701,1636916
11/19/2018,35834,35834,35303,35834,1726218
11/16/2018,35834,35900,35237,35303,1850301
11/15/2018,35303,35568,34838,35436,1248528
11/14/2018,35568,36033,35038,35303,841062
11/13/2018,35369,36033,35369,35568,906464
11/12/2018,35834,36232,35038,36232,1036756
11/9/2018,36630,36962,36033,36033,1485391
11/8/2018,37626,37692,36962,36962,867585
11/7/2018,37028,37294,36564,36829,1007084
11/6/2018,37825,37825,37028,37028,1006210
11/5/2018,37095,37493,36896,37493,1466298
11/2/2018,36497,37360,36497,37294,1713273
11/1/2018,37028,37095,36365,36497,1840295
10/31/2018,35967,37626,35967,36896,1877290
10/30/2018,35104,36033,34971,35967,2015448
10/29/2018,35369,35767,34838,35104,1901372
10/26/2018,37095,37095,35502,35502,1839029
10/25/2018,35170,36630,35170,36365,2628312
10/24/2018,37028,37559,36829,36829,2447688
10/23/2018,37825,38024,35834,37028,3687235
10/22/2018,38820,39019,37891,37891,1815415
10/19/2018,37825,38886,37825,38289,1791635
10/18/2018,39152,39284,38422,38488,2569481
10/17/2018,39749,39749,39218,39284,2250624
10/16/2018,39152,39550,39085,39284,1627060
10/15/2018,39683,39815,38953,39218,1741484
10/12/2018,37825,39749,37825,39749,3562128
10/11/2018,39815,39815,38156,38289,5173139
10/10/2018,41076,41143,40744,40943,1279963
10/9/2018,41010,41275,40877,40943,1308128
10/8/2018,41143,41408,40877,40877,2031015
10/5/2018,41474,41806,41209,41209,2461643
10/4/2018,41806,42470,41673,41806,3464115
10/3/2018,42072,42138,41474,41806,1559579
10/2/2018,41474,41872,41275,41806,2412697
10/1/2018,42138,42138,41474,41474,3168541
9/28/2018,42271,42470,41806,41806,3171238
9/27/2018,42337,42602,41939,42072,3259606
